Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
2369,"0.52767,0.0,0.0,0.0,0.0,0.0","0.5177194272132095,0.09915927482445552,0.0,0.1359693083565842,0.0,0.0545349305527061","0.539793118908019,0.07852670372911238,0.0,0.06804469890981069,0.0,0.0","0.023530476854668306,0.05607798289274575,0.03891598238672114,0.08305254013481589,0.03598309762424364,0.04547586036150725","0.4719447017382429,0.0026896928523226244,7.381778955480415e-06,0.001501453551012235,4.503976849459874e-05,8.855846036590417e-05","0.5499427788455243,0.19935777133574217,0.12724652084151034,0.2921920261245119,0.12071102240704676,0.14766460496593373"
1591,"0.0,0.29622000000000004,0.0,0.0,0.0,0.0","0.0811340753235374,0.3572829569022054,0.09850791267840482,0.09207998102279515,0.10250033672383868,0.06953213344538578","0.0,0.3282188026970093,0.0,0.0,0.0,0.0","0.06692633211355725,0.062143918282069235,0.09299867584892603,0.07582553412654298,0.0779482046374034,0.05856046009251425","0.00014376147361767335,0.25490828240171176,0.0001807698298218327,0.00018886645882863385,0.0008262724905113228,0.0007080444756384706","0.21359670870088912,0.49074621292438675,0.2913738551208228,0.24746187696752348,0.2528106281116353,0.18877572406044338"
2922,"0.0,0.39176999999999995,0.0,0.0,0.0,0.0","0.11654492600659616,0.39571925393154045,0.09572595047726178,0.08723465098815732,0.10096494944356323,0.10545599442743717","0.0,0.3843958195956083,0.0,0.0,0.0,0.0","0.09497913963847315,0.03699368005540958,0.08423815932952229,0.07258193885490265,0.07195457263198327,0.06947956742428137","0.0004165073091634967,0.33186109185540885,0.00024927457208824213,7.874746472342841e-06,0.00012926632476529168,0.000691300174910577","0.3062925073951175,0.4716684425870748,0.27318277877753155,0.23208068174444493,0.23716026801116832,0.2369559833579925"
1667,"0.0,0.17864000000000002,0.0,0.0,0.0,0.0","0.061520143049186106,0.1973764617590592,0.0,0.05497258139288388,0.0,0.0","0.0,0.17408831741891048,0.0,0.0,0.0,0.0","0.047675019662842884,0.038671600777448065,0.028557911485610786,0.04388154417152804,0.03171820570203093,0.0390151482556683","0.00036307082725739177,0.13016529805419416,5.640663263810393e-05,0.00027387149981437865,0.00011517777339254105,0.00018436391468278724","0.1528373640103843,0.2798172827545232,0.09122029043886792,0.13896872111272204,0.10098583467488922,0.12471550589122186"
217,"0.0,0.28981,0.0,0.0,0.0,0.0","0.116807116216952,0.32514676413633253,0.055677194820999705,0.10935177933854723,0.0649866818628799,0.08311122331298039","0.0,0.30264669413843226,0.0,0.0,0.0,0.0","0.106364500428175,0.06861937264309736,0.04911765650558371,0.10994616637209555,0.05634338154819012,0.06212185139259578","2.8577459231680814e-05,0.23051605433964165,6.0424181178361e-05,0.00023105254950855117,0.0001516137596157396,0.0020576373893795943","0.3503192346353172,0.5024608845668093,0.1575233224179119,0.35560828839486025,0.18287383277455688,0.20771043242221682"
1002,"0.0,0.0,0.0,0.26793999999999996,0.0,0.0","0.05512363242803864,0.060901916277089414,0.0,0.26366732008824384,0.10570894761313837,0.0","0.0,0.0,0.0,0.26149842465553785,0.08965411970336537,0.0","0.04402390596613774,0.04390443131199333,0.033845523692833585,0.03622074299541401,0.05857000429313731,0.03289217361804519","2.7181844727268633e-05,0.0004372452499559533,0.0002734846050581963,0.18860965849560515,0.010824787652003481,0.00024300421719269396","0.12935022637876162,0.14340620317795633,0.11182352603756307,0.3289915648023395,0.2097813854105413,0.10834309936927868"
481,"0.0,0.0,0.0,0.0,0.0,0.3449","0.09327004785353439,0.1045209450282103,0.21414169370821223,0.15585681394136594,0.23077337273914808,0.4059575609196667","0.0,0.0,0.15885517830502158,0.08875214125884713,0.1860591567829279,0.394221788883624","0.08431654337485754,0.08389047433272931,0.10746273818723276,0.10187989014047232,0.11599641350596925,0.05800612232304224","0.0005895123577358637,0.00025765509433625644,0.008166197971648803,0.0008987159941117914,0.011878299838519343,0.3042101093129546","0.27035117911567536,0.27502971007089533,0.40347390138181066,0.3400638967102315,0.4559077396728537,0.5200495035804623"
2410,"0.0,0.29200000000000004,0.0,0.0,0.0,0.0","0.06379782945500875,0.3410475213625683,0.11271816669475943,0.07517819449732178,0.12903652006925412,0.0598650493652455","0.0,0.3099964089605138,0.0,0.0,0.05789695382525242,0.0","0.055395724791547016,0.06847893982567767,0.11194797698983949,0.060824327195876396,0.0856354136917998,0.057854547476833655","3.2241795062083586e-06,0.22582897533883492,0.0007272906230964128,0.00018808410231748587,0.004220853507776986,0.00010231161222202068","0.17954026990876207,0.49707659709304286,0.3640148336170936,0.19875567969601496,0.2969691820990628,0.17698395497368113"
317,"0.0,0.0,0.0,0.0,0.30518999999999996,0.0","0.08541445617896902,0.05276375646265869,0.10357906874786779,0.08400612746320589,0.38317473226004234,0.08201222929608581","0.0,0.0,0.07150552623225792,0.0,0.3457672867161048,0.0","0.07160680135442317,0.04494720835229557,0.06628676626365751,0.0666979971384108,0.05748162402856401,0.05986442736307856","0.001446636282371295,0.0007311393081184044,0.0022534307529648457,0.0011726456223044516,0.3008339875720738,0.00011453173546544955","0.2282887897073134,0.1516394770822492,0.22746772606928678,0.21506024689409667,0.5200470227574174,0.1955419607855273"
1188,"0.0,0.0,0.0,0.0,0.34597,0.0","0.12451681223855542,0.0682026621834284,0.15530007235152665,0.14805321803481422,0.44236790255513414,0.21019723311949792","0.0,0.0,0.1660398818712856,0.0,0.4796739163320961,0.13444159685782156","0.08548921482806679,0.054774496431455356,0.08188940676061787,0.11997396618566689,0.0561040690783303,0.13152058388877547","0.001152637017515989,0.0004683914619858549,0.0031312418460888165,0.0029327409616853937,0.34327404005005857,0.0011100299062666858","0.2816976804260952,0.17902770496883333,0.29393430323924946,0.38767272358498156,0.546475972777353,0.4526150435355952"
