mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
-0.94881636,-0.28857842,-0.07964482,-0.85470295,-2.4598258,-2.2372408,-2.279111,-1.699868
-0.43093035,-0.28460762,-0.9392233,-1.1635673,-2.592615,-2.1206694,-2.2463567,-1.7684321
0.032481793,0.049565006,0.097470544,-0.53002733,-2.705967,-2.140967,-2.1944318,-1.8037672
0.3951322,1.1352527,0.66763014,2.0475175,-2.6214197,-1.993789,-2.2096865,-1.8812373
0.8009554,-0.4098442,-0.4847446,-0.6938916,-2.5770814,-2.0062973,-2.0751936,-1.700165
0.063396424,-1.4435579,1.6215699,1.0708112,-2.8846235,-2.138461,-1.9720626,-2.0048833
-1.0783893,0.22670634,-0.5306628,0.43475178,-2.4766645,-2.1623187,-2.290415,-1.6105921
0.7711428,-0.46841455,-0.43865544,-0.35660982,-2.6042793,-2.1211748,-2.151074,-1.8328462
0.12074615,-0.25390604,0.17995071,0.14796773,-2.8345056,-2.1200619,-2.1252415,-1.8640037
-0.43908536,0.19384788,0.68246377,1.3865241,-2.7711542,-2.084866,-2.1476393,-1.83214
0.019263102,0.3164149,0.18159065,0.40581715,-2.8057637,-2.0917377,-2.1765993,-1.8050513
1.0624166,-1.144334,-0.67289335,0.2001971,-2.4814267,-2.06179,-2.019932,-1.8199685
0.102694124,-1.0988324,-0.67604446,-1.6386197,-2.3878727,-2.0559368,-2.130902,-1.5983253
0.8497673,-1.2295781,0.5501383,-0.37457305,-2.6519818,-2.1343422,-2.076575,-1.9130917
0.29206267,-0.13732536,0.37040845,-0.25133145,-2.7101505,-2.1730268,-2.201335,-1.8276412
0.21930574,0.597726,-0.0035329722,0.32668743,-2.8005047,-2.0320313,-2.1961663,-1.7806611
0.14800407,-1.1171074,-0.07679385,0.30973908,-2.6857,-2.1227305,-2.0748973,-1.8227575
-0.38323683,0.7681991,-0.64271915,-0.33461967,-2.738852,-2.0301142,-2.2265778,-1.7978878
1.2578659,0.101867795,0.084958784,-0.015940636,-2.6114678,-2.0571089,-2.1262531,-1.9007707
-0.04007933,-0.718118,-0.10482696,-1.4694083,-2.6620026,-2.0530765,-2.1074598,-1.6920345
-1.5859739,-0.37634304,1.0100511,-0.66402256,-2.40865,-2.1564417,-2.1186898,-1.6936722
0.41120452,0.25431573,0.17958613,-0.3719304,-2.7784755,-2.1116385,-2.1905696,-1.8187611
0.757736,0.089929804,-0.16426277,-0.89390343,-2.6979764,-1.9689615,-2.0739956,-1.7539458
-0.9051676,0.5203707,-1.5101732,0.49170977,-2.5039735,-1.9731275,-2.138601,-1.6531606
0.05511523,-0.86866724,-0.5601933,0.030670501,-2.6318564,-2.0831585,-2.1135862,-1.7688162
-0.3471895,1.0659515,-0.3828587,-0.17214304,-2.7605176,-2.0270858,-2.2245984,-1.8240314
0.7648746,0.9917686,-1.1560518,-0.8573715,-2.5739686,-1.8445185,-2.0567045,-1.8027043
0.9265052,0.5190107,0.38213977,2.201344,-2.5460818,-1.9181917,-2.1319363,-1.7681291
0.4634741,-0.85430306,0.20513822,0.5541992,-2.7252245,-2.1743205,-2.11785,-1.920526
0.011398276,0.5747607,1.4726579,-0.081893936,-2.8935115,-1.9987147,-2.0248098,-1.8464906
0.4352421,0.59558135,-0.11178196,-0.58715415,-2.767141,-2.0281844,-2.1704996,-1.7827313
-0.17168973,-0.81331825,-1.2996101,-0.270267,-2.6258767,-2.0091927,-2.051206,-1.784991
1.0924455,0.20988004,-0.70295954,-0.46943668,-2.6072958,-2.0372736,-2.1408408,-1.8734186
0.6163758,1.7451433,-0.20521663,-0.029078167,-2.7845619,-1.8063859,-2.1446323,-1.7880435
-0.41839188,0.0733638,-0.1949251,0.23524594,-2.6250396,-2.2088017,-2.2959518,-1.7650821
0.048064653,-0.4453252,-0.24598818,0.42546776,-2.6716733,-2.1243815,-2.1566694,-1.77493
0.42892605,-0.72454536,0.29552248,-1.2189778,-2.4428966,-2.1401086,-2.2061188,-1.682648
-0.21467945,0.14712311,-1.0660554,-0.69868153,-2.565568,-2.1060874,-2.240713,-1.7328117
-1.0156621,-1.3308516,0.06592938,0.5019123,-2.5463703,-2.2699566,-2.1658368,-1.8854566
0.21061648,-0.04896335,-0.101116106,1.257061,-2.6567948,-2.1831121,-2.2144847,-1.9355772
0.54196936,-1.1961648,0.60755926,0.022155834,-2.7383463,-2.0691433,-2.0335212,-1.8073761
-0.88246435,1.313743,-0.75424814,0.39334053,-2.7170439,-1.9458234,-2.1930358,-1.8252614
0.34854263,-0.008884881,-0.61771387,0.39792657,-2.7370865,-2.0912974,-2.1589582,-1.8599672
1.2045691,0.2931138,1.8446034,-0.12813726,-2.5796974,-1.9913865,-1.9904596,-1.8830931
-1.1412314,0.22198766,0.19751385,1.4120909,-2.479186,-2.125688,-2.1788638,-1.7339656
0.48112085,-0.25212333,0.42235807,-1.2939812,-2.4705782,-2.0237036,-2.1254816,-1.5816739
0.6334707,-1.7139218,0.5726176,-0.19094485,-2.6706417,-2.0082693,-1.960162,-1.7350292
-0.23829857,-0.83554995,-0.56376934,-0.61544013,-2.5585847,-2.1015048,-2.1580558,-1.6765358
-1.4041703,-0.84181947,0.040910482,1.0848016,-2.6280434,-2.1112504,-2.0465558,-1.8026688
