Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
2693,"0.49138000000000004,0.0,0.0,0.0,0.0,0.0,0.0","0.47673077242271,0.19869337278428892,0.036421187810011246,0.03911432168474705,0.08629804759998184,0.02819576013487138,0.05423400388354253","0.47879370467802346,0.34053951050253517,0.041824415609675744,0.03989720841415315,0.038168533625250606,0.0370560569817633,0.02347984263149915","0.036689698725025005,0.11249751820370665,0.029867486594781705,0.031435904818485044,0.06483472302736099,0.017630440081736178,0.04642086199487552","0.4044776089885559,0.00021685715088122018,8.257997348353441e-05,0.00010167467919544982,0.0006698375968127243,1.7843569101808422e-05,9.335559668297518e-05","0.5391628739694747,0.36559987457344784,0.10004988410207363,0.10633557395134897,0.20855703484350735,0.04981401512162023,0.15004963587852788"
1941,"0.0,0.0,0.0,0.18242000000000003,0.0,0.0,0.0","0.04979062262878302,0.14066689756622927,0.10033383988657907,0.2666700761465577,0.12827949076000955,0.13082890908432468,0.036416941887809556","0.017506593326117446,0.13367827920331776,0.026645527342479124,0.27370808191357165,0.026706346380433846,0.09369977838793775,0.0020406065634347684","0.03700569358201632,0.05585050568882989,0.07398341071859897,0.061878637121900344,0.07869072559506803,0.08093581732624867,0.033426707494501225","0.0007724713170704031,0.027135130610081805,0.0005666933828362417,0.12807231995231452,0.0024069845681595646,0.00105877304473558,3.938529351824751e-06","0.12403263205195744,0.2357625728571941,0.24152441900910449,0.37813536379251433,0.2587714707143239,0.28008018423364567,0.10860383126901202"
2894,"0.0,0.0,0.0,0.0,0.0,0.15311999999999998,0.0","0.030786272678240918,0.0337866742541568,0.03872944118817459,0.06770954214527555,0.07771527637007954,0.12791491465482202,0.3976925001584975","0.016868313625375754,0.03765140240821227,0.03563836536361785,0.0436142321251286,0.014751163838198541,0.049413823267526136,0.40335702916640004","0.023342930395982096,0.028480596466713,0.030385489238214967,0.04509930390786337,0.07612051738512814,0.1356374031530706,0.08953911818603776","9.316913571718836e-05,0.00015826240221397347,5.1296394790619736e-05,0.0002593038955076167,0.00018521644352007492,6.336692031170066e-06,0.22312765367061352","0.07366923224146275,0.08200461975692012,0.1004808189749687,0.15060017610831156,0.24335340770503222,0.4639948465861502,0.5499113726679109"
1720,"0.23632999999999998,0.0,0.0,0.0,0.0,0.0,0.0","0.2096842892091147,0.09545343501703635,0.0946339605531185,0.03538429274102017,0.07305252961877197,0.048292301651249474,0.04809734127131244","0.24344291493516065,0.043252898225186145,0.032238137229109814,0.0024662660150264097,0.024110304437249437,0.03958674527193308,0.0036182090706232788","0.08032948457534553,0.05134011538787518,0.09355643725103892,0.028096597858132406,0.10160413001727517,0.034922898906629446,0.04544929141444325","6.60780961843708e-05,0.005551136736044933,0.0002917335623514925,0.0001688722356569344,0.0002791458648957927,0.0007796281874294183,8.709275566803238e-06","0.29129675121905435,0.18332163289487782,0.3318040055709719,0.08861617727695911,0.38173574470025573,0.11763876951912562,0.13273908429450962"
2685,"0.0,0.0,0.0,0.37081,0.0,0.0,0.0","0.33719657154633326,0.2534016286914752,0.45911429344611043,0.4979418895142148,0.07533577109031472,0.1103907396176001,0.20153122201688545","0.3544422726559797,0.18412489320920877,0.5444969360862114,0.5461349366911519,0.023364628181850765,0.06883523477736055,0.2521011938155258","0.07336206347199879,0.12499869588345797,0.10649222850150611,0.046269375038395684,0.06230905126494287,0.06451057806258335,0.07885875602981363","0.19909243258110224,0.08763397888161334,0.20410171422677406,0.4071036541144431,0.0003905003245336919,0.002924929424486106,0.05013365286886297","0.4864429876114083,0.5497483558136855,0.5499893616889896,0.5499381168212771,0.1944405819773363,0.22870370759824227,0.34876061068193676"
1867,"0.22969,0.0,0.0,0.0,0.0,0.0,0.0","0.23014117125970138,0.0943784221377841,0.07302850147536616,0.036965605250177336,0.046983897788438984,0.03751107821653089,0.03919520198059192","0.21872509758990225,0.03701622593482473,0.037649249231088075,0.003035874770010159,0.004049129876155451,0.04225949267659515,0.012387391620102616","0.047334072267291895,0.0699011193225144,0.05682681664156108,0.04010978948528838,0.05099073101743122,0.025886608726561414,0.04041872186108868","0.1459755720205469,0.0005297491693139703,0.0009400175980424991,9.613175673611076e-05,0.00017805342100241006,2.119054799086053e-05,0.0004273145748591112","0.3272755251036613,0.2671103093712307,0.18695214673476437,0.11255409582889774,0.12617125193690756,0.08669688888605696,0.11728527450895256"
2107,"0.39004000000000005,0.0,0.0,0.0,0.0,0.0,0.0","0.37731881207993406,0.09109440075101133,0.02792688382531074,0.03276107378967691,0.036479085763263024,0.0267302196440107,0.03158560764814119","0.383883944195876,0.05767443852526162,0.04498128058611915,0.025679852306489268,0.03379105425953552,0.03037899548588493,0.037823404597251295","0.022196747109218797,0.057647131433597995,0.01763562782516461,0.02263062208842181,0.02515416347483485,0.013919807089907867,0.0227760927581265","0.33184636134689155,0.0008912919142838057,3.063922782905903e-05,0.0006823086334332551,9.038513000715754e-05,0.004144939453086101,4.4406543397129154e-05","0.4159956644226304,0.1965949578166253,0.0539263847762089,0.07875656275787711,0.0849982556610259,0.04995778915701119,0.07532769973998259"
364,"0.4887,0.0,0.0,0.0,0.0,0.0,0.0","0.49167833525684346,0.19053210781543978,0.038081001471427435,0.034452436832957234,0.1144059031553505,0.02789700947840784,0.056212914434810066","0.5131701533321513,0.023691635613962737,0.028630756406292715,0.02592317291070846,0.05149583250578352,0.018562691324009273,0.0227821061467149","0.032696189379765886,0.12133432673402579,0.03348330648546727,0.030830144787788217,0.07256803651827488,0.01882075548795276,0.04953222840067777","0.4317112231890885,0.0011925909071277164,0.00019760917248101613,1.5406747552747828e-05,0.004481768243410627,6.837972527009968e-05,0.0001566932630531403","0.5489105907687563,0.38041421290536404,0.11016765605731607,0.08620666967955083,0.24537435625299267,0.05425950816617796,0.15839085322578172"
1181,"0.0,0.0,0.0,0.0,0.0,0.0,0.16943000000000003","0.07658265577769416,0.27696042832624373,0.077043624275488,0.11757559588509182,0.03752737923040272,0.04770094474230799,0.40166706450675516","0.041033280183144796,0.3234167700028864,0.04139898862670781,0.037234829980415135,0.03291347081616266,0.04212405197054252,0.4335308469904309","0.050920695902465875,0.11176931069426582,0.07045803874307785,0.09692721310074698,0.03258209732332701,0.041877432748190634,0.08360612790931439","0.0005299083293891786,0.030657503972953245,0.00011189231075952137,0.0013966126159370344,0.0001283106090411821,5.332010393535778e-05,0.26157580198871655","0.17070802260550744,0.4287276163454496,0.23210742573182763,0.3277681944457053,0.09876238672033717,0.12915554813289,0.5478253063014372"
232,"0.09305999999999998,0.0,0.0,0.0,0.0,0.0,0.0","0.057059982834035315,0.14690326210104288,0.09655300456664984,0.2078061689597901,0.26324613297046173,0.16342827757465292,0.4696402060793431","0.003781922312930501,0.03697304860130797,0.04869569767616054,0.1041404820421639,0.31417240696677495,0.13543530408186746,0.5445244930199162","0.04850149224859009,0.09863774004239406,0.06847308113042463,0.12551346453986664,0.12571344199315332,0.09755531828245026,0.09447649675441455","5.842482887551592e-05,0.00017182393712048889,0.0001800211090073002,0.0016469711098328773,0.03001910549876502,0.0005108778598561587,0.2862554125782416","0.15520056161038595,0.32163643624314975,0.2270732833578192,0.4285145666111503,0.5046229342975866,0.34806673577590574,0.5499973433905748"
3040,"0.0,0.0,0.0,0.0,0.14883999999999997,0.0,0.0","0.037833320253754785,0.07027523028077884,0.06309695240457389,0.2212277474518865,0.3532274220431614,0.10574643679406596,0.0393535911336533","0.04810128438675647,0.03748466405509675,0.04116700155051631,0.2833385027100189,0.36268725737228,0.07943802971992289,0.04047770274740829","0.024871570029171376,0.04782266915615939,0.054516871931592076,0.09867470975172592,0.07795054643751707,0.06266043044989851,0.031071291612800256","0.0002011265658505222,0.001361609904388848,6.656995151415155e-05,0.02917331785737882,0.16706801209759534,0.0034148543483613334,0.00011488472263505372","0.08670274568470951,0.1577229954224704,0.18066065578239082,0.37888871076390607,0.47742244139345313,0.2168961961717115,0.10123992246418553"
1501,"0.0,0.0,0.0,0.0,0.0,0.27336000000000005,0.0","0.03451019820431306,0.0778891474873465,0.06666013514909648,0.1433739375985909,0.11431875896077165,0.3924172690787656,0.16685060664291237","0.029934623568021537,0.02059590796009861,0.01845316718237551,0.040286216462460035,0.004832669218833089,0.4160115859888417,0.1133924055065508","0.025480796408077027,0.06963453664424785,0.05684716318618073,0.0954156849617406,0.09025744701173097,0.07236139547905404,0.10647355121581413","7.815566819600674e-05,0.00025455106098680555,8.998589349677905e-06,0.00033567647305611433,9.468835392149142e-05,0.24497392842223611,0.001132825457484608","0.08651090614072268,0.21885752846179124,0.1882059181625954,0.31647675195064523,0.2844602932715203,0.515540131005325,0.3593913665692489"
1679,"0.0,0.0,0.0,0.0,0.0,0.0,0.21045999999999998","0.02441650843400857,0.028576848999035547,0.07471707592616997,0.3354423480544568,0.5006073600332226,0.31556292507446265,0.08762638047502559","0.01547635062602246,0.03751429567985882,0.06079635277325511,0.34137161952173256,0.5464338087797238,0.24261657971924921,0.016514330984945407","0.014341426839946133,0.019083515746640176,0.043601240740672474,0.07661483681699327,0.05202204980100442,0.1366202753657485,0.15679822851670686","0.001766806186489142,6.364480067111317e-05,0.0010772422600607205,0.13226225203366201,0.38918969638690387,0.12732119473077752,3.2053074272067906e-05","0.048270175987097166,0.057770574104208605,0.14725968293748734,0.45258936854409726,0.5499989222015848,0.5499050315220771,0.5258842882369152"
1691,"0.40671999999999997,0.0,0.0,0.0,0.0,0.0,0.0","0.38245442215355796,0.07431127217443333,0.029867090929190203,0.029362037806550688,0.031709721350301256,0.026905476697556933,0.0317651743351187","0.3845992423121849,0.03479369677687022,0.035155343197355096,0.0016655805852383758,0.008636825996823793,0.04911742916663628,0.03324302275009911","0.021866988477574567,0.04630672471392738,0.0202357913014291,0.022816487522603325,0.02315901653090209,0.01457785867131989,0.023813395391484103","0.33522078704163705,0.001818770395659786,7.007049896309927e-05,1.4138182428511935e-05,2.5680421212137785e-05,0.002832424464805785,0.00020268351680373275","0.42144394706235105,0.15922135353935557,0.06296207780327548,0.07465045586370259,0.0768576502552645,0.049951779719623245,0.07866622852660345"
2038,"0.0,0.0,0.0,0.0,0.0,0.0,0.09536","0.10685918229083816,0.33086386468314877,0.08229333678864965,0.0748659662687173,0.042109117659832114,0.03890115553954139,0.3653072257778504","0.08521262957282308,0.3644100970994597,0.01559431440841887,0.03135558037089118,0.045309710646732226,0.03293408399843521,0.3459620508806148","0.06196479679861937,0.09940416156793648,0.07638994378157334,0.06422133322785706,0.033412540862045724,0.03358143341260262,0.0945401530034488","0.0009200706445587982,0.07536033851423812,0.00018116491718243565,0.0004751905290251984,6.486526498733338e-05,0.00012516086041385068,0.20959523413123818","0.21468958975932,0.5034883261112714,0.23589171898128813,0.20498932907162343,0.10912480856457867,0.10661998649409403,0.5492036687837905"
1695,"0.0,0.0,0.41989,0.0,0.0,0.0,0.0","0.03467014356734777,0.06521350355157643,0.36783179910740194,0.07193329659950004,0.06681734942330796,0.03806053870203533,0.03545363288119586","0.02648405576072745,0.07520992812321278,0.3733499276687178,0.04925446001488648,0.026914223814389678,0.043631014504678975,0.02794632939791755","0.023390605309878888,0.037761768718726274,0.034277889546161046,0.04344091905045476,0.04280911020648364,0.028472882686087234,0.024079045820974296","0.00012890843605728607,0.0012125776763352069,0.3015432962617874,0.00011473543385860406,0.0018529349083547737,9.271104626136025e-05,0.00019269491285363254","0.08222712029242098,0.12856567228497015,0.4309294428814052,0.149706347593105,0.14731224298621165,0.09719971822595627,0.08129244940024455"
524,"0.0,0.39336000000000004,0.0,0.0,0.0,0.0,0.0","0.067695651867714,0.3781115093528605,0.03482524966173661,0.030735881817332954,0.04470580475045871,0.04367701736732355,0.041762743127996986","0.05898746722596746,0.3770947010498221,0.04556060108899716,0.005510459387731565,0.04761190674122598,0.04460782446146078,0.020857857918354317","0.044238342174515825,0.022916139606574393,0.02636050381114432,0.021848552645559415,0.03463732224763988,0.03070458831479235,0.03223921898878723","3.85550741496332e-06,0.3333226801782171,1.1259615584502742e-05,7.971236145639835e-05,0.00014102995650775913,1.2084468648219532e-05,0.00010716514242551749","0.14823659804289385,0.42286096095859094,0.08643724265498072,0.07144658698221473,0.11268315720222699,0.10413249022399174,0.10830494673414502"
1977,"0.0,0.45962000000000003,0.0,0.0,0.0,0.0,0.0","0.05037959297861478,0.4312527961935073,0.03929463394922928,0.0289235308431076,0.04307991390637129,0.03221508379815622,0.038714695200866754","0.026642753310862112,0.4300088293144577,0.02406315879879317,0.00961601993030366,0.024267358606747495,0.03712153630993532,0.04207337062182747","0.03758699435439565,0.02132629821077671,0.03194790533410819,0.01936418597340953,0.03380629022753585,0.02183872562365177,0.030047671964649917","2.5356790164405402e-05,0.3917212321857335,7.584881068453652e-05,4.220678415952121e-05,0.00025141657721862063,7.393890002950723e-05,0.00023866002386694344","0.125136870213706,0.4733645140495027,0.11007747582663745,0.06290920683449243,0.11165023820854049,0.07383476716739755,0.09824621409573683"
1067,"0.0,0.0,0.0,0.46980999999999995,0.0,0.0,0.0","0.11149942815662764,0.11678361958438872,0.2888057254198764,0.186350918037402,0.3967814282847199,0.16522520443330305,0.3010622500419012","0.03101290042749933,0.03694116932144623,0.32145804322922494,0.07151315170819739,0.43833688628278883,0.05827647103351064,0.3907681838935855","0.08162652129847517,0.0895968705986733,0.11899783170637568,0.11898685824671028,0.10578084869327414,0.10668305715368259,0.13413554810008088","0.00024335631507406137,0.00062955081219205,0.02845772062701322,0.00292345670325476,0.1879402847218259,0.0024878657927601532,0.0561834538461937","0.26396894794637765,0.2895071638897612,0.47929741230192513,0.40888977557004585,0.5496572451250265,0.35660357267764087,0.5435264594877837"
3290,"0.0,0.0,0.0,0.0,0.0,0.24784,0.0","0.054314238232405616,0.3252077034996314,0.059205113762310475,0.07628935601962289,0.0516684494703046,0.28059469182845137,0.17414590672951624","0.028502937261589686,0.33662096342371667,0.02925308313359695,0.03958182043671215,0.022602779438887673,0.2871695433339089,0.13064231724559627","0.0372631628030168,0.08476246209090706,0.0498661953249353,0.06599558316067111,0.059360319698569364,0.06498883008989605,0.09168246785811378","0.00013786058565919344,0.13616734056719804,0.0003109926343714499,5.429188692039407e-05,3.408615136356503e-05,0.1534292781587576,0.010428575951956705","0.12624828267458532,0.471471366759633,0.1577275687962376,0.2172987769159772,0.1720133537223174,0.407978559047008,0.3419886858923837"
235,"0.0,0.0,0.0,0.0,0.0,0.20973999999999998,0.0","0.05690299697416444,0.2985915872760518,0.05436906607516205,0.09003196690819183,0.06571551192328995,0.31136754172141234,0.17033215065064675","0.04867482706745033,0.35087915639590717,0.01694937195644716,0.03333007376383895,0.02468253505528699,0.29640314675033774,0.17697466257513905","0.036584365574827894,0.10352931118176942,0.0459178818530965,0.07973796346434907,0.0771012105518804,0.06579821729678331,0.10151597042366967","0.0008415125250601792,0.04991444448507843,8.807041963418507e-05,0.00024418673534167326,0.00010132219021916123,0.18933360509300834,0.0005145400468045591","0.12747100637796566,0.448194672306886,0.14655833342729485,0.2616026661429818,0.2397125680553476,0.45078357871948543,0.35450605637903937"
49,"0.0,0.0,0.0,0.0,0.0,0.0,0.5139","0.06818858922080442,0.2673238576849761,0.08314123647017847,0.1057638090142985,0.03978744618503575,0.048061105478911445,0.4312108929668593","0.013977495391519972,0.3469219014578619,0.03210157231456381,0.047251927910558864,0.04373524993514332,0.03903395504218438,0.5106217032164362","0.04887432860781599,0.1272040494156427,0.07832748216844168,0.09430320954345464,0.03545606191726084,0.04092200308577507,0.07851057487905773","0.00134546364072907,0.010384880410321831,0.0005351423883922547,0.0003943142619947804,0.00011881346026053281,2.7433632764735933e-05,0.2864845123062209","0.16380782737476493,0.4220117435645855,0.25875670465593936,0.3132289350835189,0.10977511299973476,0.13238765487386392,0.5498910859553958"
2188,"0.10336000000000001,0.0,0.0,0.0,0.0,0.0,0.0","0.07080532829746984,0.21599812077487046,0.05276264176707655,0.04827491031699719,0.05485796902801557,0.03565719392010461,0.02778165072102734","0.0816916995544743,0.2146937081513055,0.033248337169411904,0.039374278086789616,0.036654179409106695,0.01380856169936335,0.024561596652801172","0.042821433793981824,0.057992741403799966,0.04041336834163799,0.034795667097759976,0.04215873614476991,0.02537668352138576,0.016703899114854495","0.0005522581535118465,0.10222216476188961,0.00046581059117181223,0.00023659215199198715,0.0005326285633573958,0.00034202150768098387,1.0652108202231552e-05","0.1441391031358321,0.33072440159434874,0.13753247914658734,0.1162395652181048,0.14099640605183808,0.08600987696198528,0.05151762338428616"
1219,"0.0,0.49760000000000004,0.0,0.0,0.0,0.0,0.0","0.03517275453602535,0.5064872293291292,0.05711809569226723,0.028802458930581837,0.04868628026735794,0.028238866612906918,0.0355858908195875","0.03655772410919566,0.5105788881494453,0.04496703765997033,0.04418892862250167,0.044093341822708534,0.04629042836958605,0.014702504234925171","0.026943748230126283,0.02007910899214387,0.05337421146714265,0.02024064594053176,0.04515666934415079,0.018635614220339113,0.030983681831703122","0.0001494983421690666,0.47150143291822827,0.00024070262227235013,9.530630213402038e-06,0.00019452856398294982,0.00043287303298213846,0.00018730964663823634","0.09402933518215414,0.5485437608120591,0.17226184236759148,0.056576437561918144,0.14370012438844484,0.0515292872250168,0.09962495278807885"
