mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
1.3450361,-0.021048108,-0.057305027,0.34289327,-2.1232796,-3.211423,-3.6072361,-3.671987
0.35220644,2.4116535,-1.1684777,-0.16746907,-5.7711716,-4.9425597,-3.7980504,-4.6218925
1.5397959,0.703045,1.0988048,0.25505435,-2.5672455,-3.5892038,-4.241576,-3.859356
0.93394166,-0.9087449,-0.5606415,0.334055,-2.9978561,-4.1698685,-3.691968,-4.070255
0.6917796,1.1965802,-1.4752351,-0.7529553,-5.0772376,-4.601349,-3.7686477,-4.6097956
0.829997,-0.7830272,0.4954095,-0.04137134,-3.9064393,-4.7286067,-4.933232,-4.8737354
0.71724266,0.07285928,-1.1213735,1.103643,-3.3042126,-3.3588595,-3.6284072,-3.9089336
0.44087812,2.085492,-1.3880693,-0.4013214,-5.7331576,-4.95567,-3.7926276,-4.7325344
1.0794302,0.9829787,-0.9457877,-0.6347813,-3.716835,-4.024307,-3.7053134,-4.328621
0.9686046,0.12270096,0.2996899,1.5356007,-2.944036,-3.6806474,-3.9447575,-3.9266376
1.5425594,0.74320424,1.1140093,0.29331964,-2.5829384,-3.5887108,-4.230373,-3.837051
0.25391847,-0.16458492,-1.1838925,1.4549392,-4.491766,-3.8860078,-4.265999,-4.4139376
-0.15091735,-0.57772565,0.16232468,1.4727173,-6.2275615,-5.369976,-5.8650026,-5.60715
-0.1089096,-0.26230758,-1.534468,2.0022457,-4.9967303,-3.7061443,-4.331314,-4.3780622
0.86387855,-1.2468216,-0.63307536,0.0014948174,-3.321919,-4.4987607,-3.9355347,-4.2751584
1.0660536,0.25658497,1.3015113,0.55465084,-3.710072,-4.148752,-4.968404,-4.436346
1.4789523,0.48815584,0.8559123,0.1728562,-2.5134788,-3.5537014,-4.194232,-3.9236455
0.8510669,0.21527736,-1.0949372,0.95721287,-3.036828,-3.2678843,-3.4938807,-3.8227687
0.40932733,-1.5948912,-1.2176242,-0.14389491,-4.624401,-4.9179573,-3.893516,-4.4848194
1.2627652,0.855416,0.6048468,1.6434216,-2.547401,-3.2058058,-3.5067308,-3.3475418
1.3183066,0.8540717,0.5377433,1.5526216,-2.4144816,-3.1813045,-3.4508388,-3.319519
0.98826104,0.05189101,0.29847342,1.4311371,-2.9165678,-3.7186675,-3.9966097,-3.9756346
-1.8752517,-1.8891379,-1.920709,2.3420198,-7.3167763,-4.6064506,-5.6958504,-4.9582696
1.3338851,0.60212916,-0.18606305,-0.7981332,-3.0615005,-3.7974534,-3.9081295,-4.249202
1.440644,0.358353,0.78893083,0.09280686,-2.5342975,-3.5579596,-4.234674,-3.988378
0.96098894,-1.3459138,-0.9250011,-0.25480837,-2.9649515,-4.125935,-3.55716,-3.9646292
0.24307203,1.8815097,-1.6316093,-0.55388224,-5.976765,-5.046282,-3.946823,-4.780393
0.106689446,-0.18716873,-1.2585943,1.6044204,-4.831743,-3.9727297,-4.412679,-4.524518
0.9219813,-0.036598653,0.21431117,1.3782341,-3.096796,-3.880457,-4.1066613,-4.113331
