Index,True Label,Mean Estimate,Mode Estimate,Standard Deviation,HPDI Lower,HPDI Upper
1380,"0.0,0.0,0.0,0.47265,0.0,0.0","0.0,0.0,0.0,0.6593714896934344,0.0,0.0","0.0,0.0,0.0,0.7949488170118165,0.0,0.0","0.0663123136666494,0.10164075399512448,0.05379827222382807,0.10395044155251917,0.18943796562875462,0.06773980095682422","9.117680713268706e-23,4.070685621115592e-24,1.7076752083387258e-16,0.4990751344851793,1.3266842739926088e-15,4.68777204365501e-17","0.1751337798430815,0.2953648413013804,0.14680719419516494,0.7999998686898333,0.4972658515136288,0.19960915538072918"
2668,"0.0,0.0,0.0,0.0,0.43895,0.0","0.0,0.0,0.0,0.0,0.46234486623298227,0.0","0.0,0.0,0.0,0.0,0.4598332556075788,0.0","0.08644008711903699,0.051759874971743135,0.0423952851025169,0.03403438085782918,0.07733040253251083,0.020702463637515826","2.4346060309580828e-29,7.896377343700851e-29,1.3810062360824416e-15,2.864364173315387e-22,0.37589652325133305,1.1651979634051247e-22","0.3137980334436577,0.14629913839654854,0.1253035656311455,0.09098882456540566,0.7249937434743151,0.05475022738537965"
2068,"0.0,0.44517,0.0,0.0,0.0,0.0","0.0,0.45545628729265825,0.0,0.0,0.0,0.0","0.0,0.45840430070162547,0.0,0.0,0.0,0.0","0.04164948337500312,0.03525099787782535,0.046364074795396615,0.08485343078781563,0.12365336834983376,0.03961770772183632","1.5340880484000356e-35,0.3833847069473184,5.7848281384141395e-31,8.206451172173828e-24,4.365698690254976e-32,3.075172565078144e-22","0.11093611473574111,0.519848144478688,0.1098139748528536,0.08868160670487846,0.24745412220653487,0.11900220070250032"
2047,"0.0,0.4262,0.0,0.0,0.0,0.0","0.0,0.4104080355559915,0.0,0.0,0.0,0.0","0.0,0.4167191340879336,0.0,0.0,0.0,0.0","0.05265528758655247,0.035162522126327755,0.06643229009208157,0.05183224584220778,0.09265122064985094,0.03896041664249473","3.8916457181900284e-47,0.33988800632876265,4.177993293211306e-28,4.434656370173232e-19,2.556822177439054e-24,2.4887250115797286e-26","0.1600548131900896,0.4797784735909839,0.16118873243707488,0.15615606575520277,0.1622971095459598,0.1118109944363293"
1612,"0.0,0.0,0.0,0.0,0.0,0.61","0.0,0.0,0.0,0.0,0.0,0.5711758827109443","0.0,0.0,0.0,0.0,0.0,0.5614085404554154","0.04017675801268578,0.03446414532168485,0.03440414540083292,0.04822605516282607,0.039040828919512834,0.03993311735378149","3.41168753413e-26,6.068416915244534e-26,4.014618095491612e-42,3.301401358962822e-28,5.799080819277514e-43,0.4950836838672017","0.1148996358775094,0.07776233419651124,0.07966749281043634,0.1306481795348352,0.10024419295602903,0.6546750966608164"
3334,"0.76174,0.0,0.0,0.0,0.0,0.0","0.7878991725541146,0.0,0.0,0.0,0.0,0.0","0.7968465515114055,0.0,0.0,0.0,0.0,0.0","0.036187275577068634,0.035767132142547405,0.17000934081751085,0.25032958731297356,0.06724396777417337,0.1536716951412894","0.7323762853308866,2.4757048566189546e-41,1.5968308657007624e-57,6.665444608805958e-41,1.5833329131462379e-50,4.965822597998514e-34","0.8,0.08519882646561577,0.4277929112140334,0.7681368879701977,0.15494482296765458,0.29834303187017636"
3061,"0.0,0.72464,0.0,0.0,0.0,0.0","0.0,0.7078769944172972,0.0,0.0,0.0,0.0","0.0,0.7187350454474999,0.0,0.0,0.0,0.0","0.06461778910555613,0.03506536930083067,0.09571254317646105,0.09037103573905172,0.10202274451853902,0.05997012802094797","1.1974070865246985e-19,0.6287018003611197,2.2864920270013707e-24,2.434590906330816e-16,1.2701881229449368e-18,1.8210731565984853e-16","0.17226503345096503,0.7778786800207886,0.28955411701146777,0.2325963590363033,0.22873435054215363,0.17359041334396397"
398,"0.31575,0.0,0.0,0.0,0.0,0.0","0.0,0.0,0.48718706424909697,0.0,0.0,0.4673319900275499","0.0,0.0,0.792,0.0,0.0,0.792","0.23385716192370196,0.07156045172301735,0.35712191474603494,0.13776996921430304,0.25144247027758015,0.38800159714757115","5.605210449730213e-13,4.0221482589280636e-27,1.851467192171711e-07,1.306062032443455e-30,1.1422586697920989e-35,7.2189371200976655e-09","0.7950186554359173,0.19798408067095316,0.8,0.20974154694503586,0.7988358796563402,0.8"
3343,"0.0,0.0,0.0,0.0,0.65858,0.0","0.0,0.0,0.0,0.0,0.7199069170369544,0.0","0.0,0.0,0.0,0.0,0.7969045534502355,0.0","0.0913237823322293,0.08337899288644397,0.07846521075039144,0.06951158214919295,0.056735159885301485,0.04415114646140352","4.5326348859984986e-23,3.663583548354558e-24,4.5197166951459916e-17,3.002242592611489e-27,0.6327103282813765,1.0212005817356657e-26","0.3087684711335446,0.24015462283368416,0.21884313787554316,0.18476923109454185,0.7999999999749072,0.11159885931592234"
3275,"0.0,0.0,0.0,0.0,0.56587,0.0","0.0,0.0,0.0,0.0,0.6419948452384638,0.0","0.0,0.0,0.0,0.0,0.796336854664309,0.0","0.08040402888019471,0.0645786082135803,0.04457493386446004,0.2114244843200987,0.0853976515405758,0.03410067024520716","7.502014035034165e-33,1.0146520005954784e-29,1.5669271721719918e-29,3.2608325980598954e-29,0.5387270550939636,3.6659834059215953e-23","0.22745680856014308,0.17874003307917363,0.11754344894517238,0.5949704448879873,0.8,0.08605302490762858"
