mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
0.8837171,1.4933515,-0.029151913,0.7867592,-5.9386697,-6.2517915,-7.3603888,-5.734018
-1.3138018,-0.7804082,1.4992381,-0.26844734,-6.4873843,-7.338129,-7.5731926,-4.2529755
0.53223324,1.1203418,-1.1243076,-1.0932143,-5.640506,-5.8382187,-6.477911,-5.776015
-1.7292858,0.64530593,-0.36080724,-0.42942747,-6.296323,-6.655231,-7.1911154,-5.3028293
-1.0213778,1.8193632,-1.224014,0.29372787,-5.9582415,-6.046518,-6.359538,-5.856127
-0.3578202,0.05492688,0.8128064,-0.06852802,-6.065151,-7.3448,-7.963952,-4.932644
-1.4161371,-0.7295668,1.4412599,-0.2672853,-6.5224414,-7.3783774,-7.5608816,-4.2731237
0.42866442,0.8284478,-0.51719195,-1.0019659,-6.096385,-6.598297,-7.2754583,-5.8825436
1.1472658,0.41399658,0.46767485,-1.3235205,-6.2620344,-7.46261,-7.7513647,-5.7763824
-0.5493631,2.9041586,-0.4404525,-0.20831513,-5.47584,-6.212846,-6.362051,-5.867042
-0.07597535,1.2246552,2.3210254,-0.9588911,-5.1720686,-7.280133,-7.288149,-4.609193
-0.16223554,-0.88911676,0.38846618,-0.84601915,-6.4669356,-7.6577168,-8.1903925,-4.4813004
0.6346472,0.83750206,-0.55713886,-1.1219839,-5.9384136,-6.463368,-7.0945845,-5.7839613
-1.6094028,1.7051237,0.66271067,1.3892863,-6.0740776,-5.616932,-7.301075,-5.5251837
-0.14425917,-0.44660106,2.0352468,0.09754901,-5.8471704,-6.8458223,-6.595998,-4.1839623
-1.6104579,1.2008871,1.5998788,1.1901222,-6.1591353,-6.3537545,-7.725256,-5.2176824
0.19541273,-1.9080391,0.7255763,-1.240546,-5.522473,-6.108966,-7.233694,-3.8847713
-2.093178,2.3731709,0.46193781,1.9829559,-5.7117367,-4.9020963,-6.065708,-5.3198957
-2.4746714,-0.008245487,0.20202023,-0.5999111,-6.1661944,-6.5485535,-7.2019167,-3.832834
-0.9455153,1.345373,-0.6773532,-0.06194785,-5.9968033,-6.236863,-6.9725857,-5.6450615
-0.94780946,1.4799174,-0.8120461,-0.052287254,-6.047436,-6.2811913,-6.809902,-5.7639856
-0.16351172,1.5308969,1.1017221,-0.6102424,-5.454002,-7.2744093,-7.689021,-5.082367
-1.2587063,0.3156571,3.0294447,1.6842197,-5.751934,-5.837284,-6.3983707,-4.3398514
-1.6557415,-0.95166147,1.6020935,-0.3478988,-6.528808,-7.2255883,-7.455085,-3.9215996
1.3299823,-0.410528,1.5337955,-1.1618366,-5.8075995,-6.8590755,-7.1389694,-5.363278
1.2826854,1.3549752,0.46380746,0.7677372,-6.366762,-7.185462,-8.034939,-6.0184026
-0.96351826,0.267106,2.0094965,0.93092364,-5.9092355,-6.83915,-7.313122,-4.6312613
-0.0505587,1.7797,1.3976713,-0.93313384,-5.229833,-7.2155876,-7.678894,-5.065539
0.09755221,0.99840444,1.6207752,-0.7997924,-5.5840874,-7.551682,-7.930437,-4.9519563
0.27883792,0.8333766,3.0767775,-1.1749824,-4.8471317,-6.22529,-5.8837786,-4.0906825
1.7704768,-0.7446679,1.8875762,-1.6316193,-4.799233,-5.384806,-5.642828,-5.0433364
-2.9050503,0.7666454,-1.1454426,0.10269943,-5.074712,-5.1338954,-6.0194244,-4.1036744
0.011608559,1.28381,1.7495825,-0.8540999,-5.444081,-7.5438914,-7.9605465,-4.990633
-0.8025687,0.5125874,-1.6527972,0.20206921,-5.5758853,-6.2662477,-6.849449,-5.7401643
-0.36191532,0.11116331,0.80773693,-0.05102733,-6.1257925,-7.386182,-8.014656,-5.0122905
-0.11986591,-1.1270545,0.62304854,-0.87059164,-6.395716,-7.45555,-8.279783,-4.236087
-0.0079762675,1.7448272,1.452847,-0.9437836,-5.239816,-7.2697086,-7.7117987,-5.053218
-0.045863003,-1.0419066,0.37670967,-0.99657845,-6.4712763,-7.59809,-8.239904,-4.4290886
-1.8431762,0.57504535,-0.31369922,-0.4883138,-6.3150177,-6.631241,-7.1742153,-5.141391
-0.82213354,-0.04233669,2.5483558,1.3018044,-5.6255507,-6.109033,-6.222389,-4.0336595
-0.9961446,1.4879668,-0.85552645,0.058990773,-6.011386,-6.20784,-6.7559395,-5.699434
-1.0417008,0.04450518,3.0104587,1.6178766,-5.5890326,-5.6484537,-6.0610714,-4.1514277
-1.9927232,-0.39153627,0.77155936,-0.6328444,-6.3508353,-7.310869,-7.6053658,-3.8216155
-1.5224038,-0.23195201,0.7408016,-0.5420787,-6.406837,-7.5179815,-7.715582,-4.3946958
-0.006908225,1.5339392,1.8806379,-0.9898943,-5.2214313,-7.388822,-7.795104,-4.8956757
-0.18971442,-0.3922088,-0.7308495,-0.49449718,-5.9749894,-7.221732,-7.708086,-5.6529264
-0.43935192,0.22008982,0.6912056,-0.061279006,-6.202747,-7.308835,-8.085304,-5.136765
0.7795512,0.4514453,0.2406576,-1.0637313,-6.4095783,-7.577014,-7.896326,-5.9428973
-1.6222955,1.3555957,1.2976365,1.2852468,-6.2513013,-6.056609,-7.6493044,-5.439092
-0.31112856,-0.39564684,-0.421996,-0.62128264,-6.2867365,-7.5182133,-7.7989397,-5.613198
-1.4950999,1.5705371,0.52221084,1.130945,-6.1097198,-5.8395276,-7.440052,-5.539672
1.1248709,-0.08033098,0.76560193,-1.1542646,-6.3048353,-7.6849737,-8.092384,-5.607435
-2.4910994,0.645012,-0.6198402,-0.33350947,-5.7460103,-5.8728514,-6.6006346,-4.6281357
-2.212687,-1.402185,2.1311476,-0.45745116,-5.7955275,-6.208003,-6.674282,-3.063474
-2.0110366,-0.1096288,0.36517316,-0.6247817,-6.397945,-7.0345855,-7.4900436,-4.185651
1.5179467,0.878445,1.4170805,0.8529246,-6.2629848,-7.034747,-7.5631056,-5.4386673
0.319751,1.3727849,2.459618,-1.3538535,-4.9768963,-7.0123878,-7.009904,-4.469159
-0.22957839,-0.47500777,1.7378559,0.100054085,-5.712833,-6.873144,-6.7068825,-4.0612087
-0.07260599,-1.5828536,1.7369506,-0.703536,-5.8821588,-6.46782,-7.065262,-4.143012
-1.8695889,-0.07182749,0.5847754,-0.58000386,-6.3505583,-7.269468,-7.547369,-4.273278
-1.1828899,-1.4367002,2.2897954,-0.33153877,-5.759965,-6.2294703,-6.7381134,-3.5271482
-0.9981473,0.23683858,2.05872,0.99316,-5.8562655,-6.755175,-7.155304,-4.5352697
1.0751171,1.8771871,-0.41545382,0.6746137,-5.8963866,-6.3212376,-7.102083,-5.977424
-1.5863726,0.3036256,0.005003322,-0.5565153,-6.3890147,-7.0068293,-7.432146,-4.9817986
-1.7463548,-0.015879769,0.35034755,-0.64886945,-6.4275417,-7.224149,-7.548936,-4.486295
0.71203214,1.8739256,-0.5761943,0.5713917,-5.8623767,-6.2268553,-6.933735,-5.9166007
1.0971252,-1.094859,2.2856343,-0.82401544,-5.4705925,-5.8403387,-5.8284616,-4.837761
-0.15313582,-0.49855572,1.9135331,-0.04388099,-5.886723,-6.9596715,-6.79652,-4.177725
-1.6462777,-1.181114,1.9290493,-0.31424466,-6.33123,-6.8840594,-7.34974,-3.607398
-0.014525665,1.0667263,2.2965617,-0.874064,-5.368782,-7.357738,-7.367771,-4.7790956
-1.6698923,-0.7363416,1.3316456,-0.30058292,-6.5594277,-7.36705,-7.549492,-4.096113
-0.5319084,0.4307168,0.27022958,-0.30315104,-6.1950903,-7.0424867,-7.985924,-5.3202233
