mean_0,mean_1,mean_2,mean_3,var_0,var_1,var_2,var_3
1.0477529,0.55505633,-0.48978433,0.08412695,-4.972637,-7.026089,-4.3325515,-5.048249
-1.0955414,0.0006524846,0.38000652,-0.014978901,-5.2516975,-7.531526,-4.8370943,-3.810938
0.6588668,0.61041754,0.34591836,-0.47511393,-5.099839,-7.077268,-4.4787874,-4.7556777
0.1064737,0.35178292,1.6455566,0.4356287,-4.971526,-7.480298,-4.7133923,-3.8078966
-0.97990054,-0.041246757,0.4587247,-0.08574431,-5.2797728,-7.4067264,-4.786439,-3.7834697
0.6459304,0.18457648,0.48045307,0.16858643,-5.1546125,-7.4183564,-4.459405,-4.4546294
1.0416267,-1.7717006,0.6533718,0.4968418,-4.986557,-4.784751,-4.4210052,-3.9479628
0.36756173,1.5543033,0.81306195,0.6778826,-4.9419117,-6.009929,-4.5984497,-3.9415526
-0.7094554,-0.0131957475,-0.059461188,1.4276514,-5.241823,-7.4653797,-4.9693394,-3.8426976
-0.35431102,-1.3832644,-1.1223528,-1.0523391,-5.45963,-5.433983,-4.511462,-5.384508
0.79787004,0.17740925,0.4730576,-0.20176357,-5.0307856,-7.3636146,-4.3818665,-4.5248156
-0.08683098,0.33300275,1.1110189,-1.2433528,-5.0333624,-7.0312977,-4.428745,-4.1582212
0.27722424,-1.7636498,1.4068068,-1.025568,-5.1553736,-5.0551696,-4.4782095,-4.0992017
-0.22662425,0.047788173,-1.6915227,-2.0975842,-4.8341064,-6.796211,-3.4399695,-5.166427
0.13892895,1.3903687,1.7124577,-1.4218028,-4.6230154,-5.9838424,-4.2672133,-3.8777194
-0.38761646,-0.54611605,2.396534,0.9900726,-5.3786,-6.9889565,-5.2721853,-3.136819
0.17845643,-0.80295795,0.5934505,0.80703497,-5.899041,-6.7183185,-5.4042487,-4.427759
-2.2658706,1.0073004,-0.27970836,-1.6686641,-3.6623614,-6.1724157,-3.8014712,-4.184223
-2.0229828,0.14938515,0.18951198,0.20509124,-4.6262054,-7.950013,-4.664304,-3.486195
-0.63572484,0.33180395,-1.0262971,0.5431742,-5.0942707,-7.2879734,-4.765979,-4.6811495
1.0137765,-0.42399833,-0.84704185,0.7041078,-5.2709293,-6.8631916,-4.396555,-4.6422415
-1.2192663,-0.076706514,-0.29022494,-0.6654447,-4.8769817,-7.4504027,-4.4303856,-4.2010674
